0	1
دادگستری كل استان تهران	Tehran Court of Justice
تاريخ تنظيم دادنامه	Date of judgement
تصوير برابر با اصل است	This is a true copy of the original.
رعایت انضباط در سیاست مالی	observing/following discipline/order in financial policy
راه‌هایی برای خنثی‌سازی کسری بودجه	ways to neutralize/overcome budget deficit
رشد ۱۲۰۰ هزار میلیارد تومانی نقدینگی	(...this deficit can) grow liquidity by 1.2 quadrillion tomans
چند باری میان بهارستانشینان و دولتی‌ها در رفت‌وآمد بود	...was circulated several times between the Baharestanis and the government side...
زن سرپرست خانواده	female head-of-household, bread-winning woman
صدور حکم	to issue a verdict
کرونا در مرحلۀ اولیه تشخیص های افتراقی‌ متعددی دارد	COVID-19 in its early stage has a number of differential diagnoses.
امضای مامور و امضای مسئول	officer's signature and office manager's signature; registrar's signature and the signature of the officer-in-charge
شماره ملی	National Number; National Identity Number
توضیحات شناسنامه	annotations
مدیر کل	general manager, general director
گواهی اشتغال به تحصیل	enrollment certificate
بیماری زمینه ای	underlying medical condition
گرم شدن تدریجی آب و هوا	gradual warming of the weather
کارشناس هوشبری	anaesthetist, nurse anesthetist
مدل‌های آب‌و‌هوایی پیش‌بینی می‌کنند که تا سال 2100	Climate models predict that ... by 2100
بیشترین سهم اثر گلخانه‌ای مربوط به دی‌اکسیدکربن	Carbon dioxide contributes the most to the greenhouse effect
بارش رگبارهای سیل آسا	Torrential raining
باعث به وجود آمدن بسیاری از مشکلات کنونی	has led to many of the current problems
یگان‌های شناور	maritime units
صاحب اندیشه می‌شود	Becomes wise
رایانامه	email
پدرسوخته	You naughty little kid
تاریخ، امضا و مهر ثبت احوال صادر کننده	The date, signature, and stamp of the issuing Civil Registry Office
تاریخ تنظیم سند [شناسنامه]	[BC] Date of issue
محل تولد: شهرستان تهران، بخش مرکزی، شهرتهران	Place of birth: Tehran, Central District
از یابنده تقاضا می شود کارت را به صندوق پست بیندازد.	The finder is requested to drop this card into a street posting box.
الزام قانونی	legal requirement
پزشکی قانونی	Legal medicine
معاون اموزشی	Vice-chancellor for Education
بخشنامه	circular, directive
يَرْفَعِ اللَه الَّذِينَ آمَنُوا مِنْكُمْ وَ الَّذِينَ أُوتُوا الْعِلْمَ دَرَجات	Allah will exalt those who believe among you, and those who have knowledge, to high ranks.
دادسرای عمومی و انقلاب	Public and Revolutionary Office of the Prosecutor
کارشناس رشته ...	expert in the field of...
قطع رابطه استخدامی	Termination of employment relationship
بچه‌ام را از سر راه نیاورده‌ام که	my child/baby was not left/found on the church steps
رسیدن	Lead to
آثار هاله ای	visual aura
فقیه	faqīh, Islamic jurist
به رسمیت شناختن افراد	To officially recognize individuals
در وجود	being
پیش پای پدرم گل گذاشتن	they placed flowers at my father's feet
دفترعمومی ثبت دانشنامه ها	General Register Office for Degree Certificates
مدير كل دفتر امور فارغ التحصيلان	General Director of the Alumni Affairs Dept.
بدون خط خوردگی و خدشه	with no strike-through or damage
مشخصات واقعه وفات	Specifications of the death event
بیماری های قلبی	Heart diseases
اداره کل امور اسناد و سردفتران	General Department of Deeds and Heads of Notaries' Affairs
شناسنامه المثنی	Replacement Birth Certificate
موهایت که پریشان شود	When your hair gets disheveled
برای صبح شدن به خورشید و خنده‌های باد نیاز نیست	Morning\'s arrival needs neither sun nor wind\'s laughter
سربلند کردن	to elevate / make glorious / glorify
به خودت نگیر	Don\'t take it personally
درجا زدن	Stagnate
تدابیر شدید امنیتی	stringent security measures
از تصدقِ سرِ سرکار همایون، خوب و مشغول دعاگویی هستم.	Due to kind support of your excellency, I am great and well-wisher
انحلال قرارداد	contract dissolution
عقود لازم	binding contracts
نهایتاً تا۲۴ ساعت بعد ازانعقاد قرارداد	up to 24 hours after the conclusion of contract
مالیات بر ارزش افزوده	value added tax (VAT)
متعاملین	Parties to the transaction
اشخاص حقیقی و حقوقی	natural individuals (real persons)  legal entities
تا زمان تحویل ملک	till the handover date of the premises
تنظیم قرارداد اجاره	drawing up a residential tenancy agreement
...در موارد سکوت این قرارداد	In cases not included in the contract herein, ...
اسقاط کافه خیارات ولوخیارغبن فاحش	Waiving all options including the option of gross loss
خیار تدلیس	option of deceit
خیار غبن	option of loss
بلامانع است	is permitted; is allowed
سرقفلی مغازه	Goodwill
عوارض کسب و پیشه شهرداری	Business and Occupation (B) tax levied by the municipality
واحد صنفی املاک	Real Estate Agency; Real Estate Guild Unit
مدارک و مستندات مورد معامله	Documents and deeds related to the object of transaction
عرف	conventional practice; common practice
استیفا	Using someone's property with their consent
شرایط تسلیم عین مستاجره	Conditions for the lease object's handover
کولر آبی	Evaporative air cooler
پلاک ثبتی فرعی	registered sub-plate [No. ...]
تملیک منافع	Possession of benefits
مشخصات مورد اجاره	The Object of Lease's specifications; Specifications of the Object of Lease
موضوع قرارداد	Subject of the agreement
صورت جلسه تفکیکی	division proceedings
انتقال قطعی ملک	absolute conveyance; irrevocable transfer of the real estate property
حقوق ارتفاقی ملک	property's easement rights
قدرالسهم از عرصه و سایر مشاعات و مشترکات	Proportionate share from the building site and other shared and communal areas
قطعه ۲ تفکیکی	Divided lot No. 2
سه دانگ عرصه و اعیان	Three [out of the entire six] shares of the building site and superstructure
فوق تخصص	Subspecialty
کارشناس پیراپزشکی	An expert in an allied healthcare field
پیراپزشکی	Allied healthcare field; Paramedicine
شیوه نامه	Guideline(s)
آزمایش های موجه	eligible tests; justifiable tests
پزشک معرف	referring physician
آگاهی نامه	information letter, notification letter
آگاهی نامه اطلاعات برای بیماران	fact sheet for patients
ترکیب شیمیایی	chemical composition
کتابچه راهنما	instruction manual; guide
موجود زنده	living organism; organism
تک نسخه‌ای	in one copy; single-copy
اومحکومیت کیفری ندارد	They have no penal conviction.
اساسنامه شرکت	Company's Articles of Association
مطالبات حال شده و آورده نقدی	matured claims and cash contributions
مجمع عمومی فوق العاده سازمان	extraordinary general assembly of the organisation
صورت جلسه	Minutes
این گواهی نامه یک نسخه است و از آن رونوشت یا المثنی داده نمی شود	This certificate is issued in one copy and other copies or duplicates will not be provided.
معدل کتبی نهایی	Final written average
دیپلم علوم تجربی	Certificate for completing secondary education [High school graduation diploma] in the field of experimental sciences
مراتب فوق	Thereof; the above-said; the above-mentioned
به زوجه وکالت بلاعزل با حق توکیل غیر داد	[The husband] gave the wife an irrevocable power of attorney with the right of substitution
وام بلاعوض	Grant
(معرفین (ازدواج	References: First referee, Second referee
جد پدری	paternal grandfather
اداره ثبت احوال بهشت زهرا	Behesht-e Zahra Civil Register Office; Behesht-e Zahra Civil Status Registry Office
تاریخ وقوع عقد	Date of marriage solemnisation
دفن متوفی بلامانع است	Burying the deceased is allowed /unrestricted.
جواز دفن	Burial permit
درگیری شدید دو طرفه ریه ها	Severe bilateral lung involvement
تاریخ فوت	date of death (DOD)
حق‌الناس	The right of the people
ندا و منادا	interjection letter  vocative
پاكسازي كردن	cleansing
حكم افزايش حقوق وظيفه وراث	Legatees'/Heirs'/Survivors' Pension Increment/Increase Order/Directive/Personnel Action
سامانه	system
خدمات غیرحضوری	remote services
فیش مستمری	Pension payslip
تبصره ۱ ماده ۷۶ قانون	Note 1 to Article 76 of the law
تاریخ برقراری حکم افزایش مستمری	pension increase order's date of issue
امریه سربازی	substitute service; civilian service; alternative service
حکم افزایش مستمری	Pension Increase Order
بسمه تعالی	In the name of God, the Almighty; In his name, the Almighty
اداره کل	General Department; Directorate; General Office; Directorate-General
صلح عمری	Gift [deed] with lifetime ownership [of the real estate]
شخص تخصیص یافته	designated / assigned person
اسناد رهنی	mortgage documents
عقود ناقله	transferable contract
صلح خیاری	Optional Compromise
سیستم	System
آورده	Contribution/ share of investment/ share of stock
TAT (Turnaround Time)	موعد/زمان تحویل؛ زمان مورد نیاز برای تکمیل پروژه
ثبت احوال	Civil Registration
میزان جانبازی	Veteran disability compensation rate
نمره تجدیدی	Renewal score
افزایش همسان‌سازی	Increasing synchronization
فرسودگی تحصیلی دانشجویان سال ششم دندانپزشکی	Academic burnout of the sixth-year dentistry/dental students
بیمه: آزاد	Insurance: None
قدرالسهم	proportionate share
ولایت قهری	natural guardianship
ملک طلق	freehold; freehold land; freehold estate
Attention Deficit Hyperactivity Disorder (ADHD)	اختلال کم‌توجهی-بیش‌فعالی
medical administrator	سرپرست پزشکی؛ مسئول پزشکی؛ سرپرست بخش پزشکی؛ مسئول بخش پزشکی
جهیزیه	dowry
سونداژ ادراری	urinary catheterization; urinary catheterisation
ترک اعتیاد	addiction recovery; overcoming drug addiction; drug addiction recovery
مهریه سنگین	excessive marriage portion (Mahr)
انتقال قطعی در سند قطعی	absolute conveyance on a binding deed
لازم الاجرا	legally-binding; enforceable by law
واجب الاجرا	peremptory
خط خوردگی یا قلم خوردگی نسخه پزشک	alteration/ cross-out on doctor's prescription
شرایط ضمن عقد یا عقد خارج لازم	Stipulations in the marrige contract or by a separate [legally] binding contract
اداره ‌كل آموزش و پرورش شهر تهران	General office of education-Tehran
غیرقابل اعتراض	non-appealable
دادسرای عمومی و انقلاب تهران	Tehran’s Public  Revolutionary Court; Tehran’s Public  Revolutionary Tribunal
گواهینامه عدم سوء پیشینه	Clear Criminal Record Certificate
مهلت واخواهی	period to lodge an appeal [against the court's decision]; period to lodge a protest
پشت نویسی چک؛ ظهرنویسی چک	to endorse a check; to endorse a cheque
سند مالکیت کاداستری	Cadastre ownership document
گرایش رشته تحصیلی	sub-discipline of the academic discipline; concentrating on; concentration
دوره کارشناسی ارشد ناپیوسته	non-continuous master's degree program
قطب علمی	Center of Excellence
اهل علم	scientist/man or woman of science
وکالت شفاهی	oral power of attorney
میزان قرار تأمین	Amount of the writ of garnishment
مدیر کل اداره کل استاندارد استان	Director General of the General Department of Standards of the Province
مدیر کل تعزیرات حکومتی استان	General Director of the Governmental Discretionary Punishments Organization of the Province
کارشناسی حرفه ای	Professional bachelor
متخصص طب انتقال خون	Blood transfusion specialist
سکه طلا یک بهار آزادی رایج صداق فوق	Circulating, [size] One Bahār-e Āzādī gold coin as marriage portion (Mahr)
ولی زوجه	The wife's father and grandfather
عقد ازدواج	marriage contract
چهار اداره‌كل و شش مديريت	Four general directorates and six administrations
دوره دانشپذیری	Pre-Studentship (Program)
ایجاد نشاط و بالندگی	Creating vitality and growth
کاردان فنی عمران	Civil Engineering Technician
كارهاي عمومي ساختمان	General Construction Works
روسازی راه	Road surfacing
دلایل و منضمات دادخواست	reasons for the petition and attachments thereof
برای کوچکی شما	to be your servant or to serve you
صدای بم و خش‌دار	a deep, scratchy voice
سودای خام چیزی را در سر پختن	To indulge in wishful thinking/have wishful thinking
به حالت روحی خاصی دچار شدن	I was in a special/particular state of mind
شرعاً سهمی از ماترک پدربزرگم نداشتم	I had no legal right to any share in my grandfather's property.
حرمتی چنانکه باید پیش پدربزرگم نداشتند	they did not have the proper respect from my grandfather
همۀ مهر و علاقۀ پدربزرگم را به خود اختصاص داده بودند	They took/got all the love and affection of my grandfather.
دیگر لطفی از زندگی در جوار آنها حس نمی‌کرد	My mother who saw no point in living with them any more
برای هفت پشتش بس است	enough for a lifetime; to have more than one's fair share
خسارات جانی و مالی فراوانی به مردم وارد شد	people incurred extensive loss of life and property damage
جولانگاه نیروهای روسی و عثمانی بود	It was a hotbed of Russian and Ottoman forces
تنها یادگار تلاش‌های پدرمان هستیم	We are only relics of our father's endeavors
در تمام مقاطع حساس کشور حضور داشته‌ام	I have been there in all the critical moments in the country
باید حافظ نظم و امنیت کشور باشند	should protect order and security of the country
مجمع عالی حکمت اسلامی	The Supereme Council of Islamic Wisdom
اختلال هذیانی در بیماران سرپایی	Delusional disorder among outpatients
اوراق اختیار فروش تبعی	bonds with an embedded put option
مجله علمی-ترویجی	Review journal
خرده مقیاس‌	subscale
تنظیم هیجان	excitement regulation
اصالت	Roots
ادواری	periodic
مرتع داری	Rangeland management
مدیریت تحصیلات تکمیلی و استعدادهای درخشان	Postgraduate education and Exceptional Talents Administration
اجرای صحنه ای	stage performance
نامه قطعیت	Confirmation letter
نفوذ کردن	to infiltrate
آجودانی	adjutancy
یگان عمده مستقل	Major Independent Unit
رکن یکم یگان	First Section of the Unit
کیفری	criminal/penal
کارت نمونه	sample signature card
ترازنامه عملیات	operation balance sheet
مجمع عادی به طور فوق العاده	Extraordinary general meeting (EGM)
مدیر تسویه	liquidation manager / liquidation officer
قرار تامین دلیل	Writ of security
جرح شهود	Witness impeachment
واخواهی	lodging a protest/appeal
رای بدوی	initial judgment
احضار	Summoning, summons
ممنوع المعامله	barred from transaction
هزینه ایجاد کردن	Fabricate expenses
سود سهام مدیریتی	The managerial dividend
زمین ویلایی	House-lot
تشبیه جمع	singular to plural simile, plural simile
الهی به من ان ده	O God, give me that, which is better
رد مال	Restitution of property
قرار جلب به دادرسی	writ of summons or summons to attend the hearing
خیام خوانی/ رباعی خوانی	Reciting Khayyam's poems/Rubaʿis
حلال شدن	become legitimate
عده نگه داشتن	Observe the period of waiting/iddah
مقاومت در مقابل بازداشت قانونی	Resisting lawful Arrest
مقام ذیصلاح قضایی	competent judicial authority
حد سود و حد ضرر	Take profit  stop loss
تامین از طریق اینترنت	Internet procurment
اکوی طبیعی	normal echo
منحنی 60% پرسنتایل	equals to 60th percentile
عمیق	Deep
تعدیلی	moderated
زیرآبی رفتن	to be a double-dealer
ارشد معافی(معافی)	English for MA students (Exempted Course)
هم ورودی	Fellow student in the same year of entrance
معاونت نیروگاه ها	Power Plants Vice Presidency
کارگر عمومی بنای سفت کار	Masonry Worker or Mason
عدم حضور جلب است	Failure to appear in court results in the issuance of arrest warrant
فرمانداری ویژه	Special governorate
واهرسازی و جواهرفروشی	Jewelry Making Lab and Jewellery shop
مطالبه خسارات دادرسی	claiming for proceedings fee/adjudication costs
به قید فوریت	with urgency
کیفیت امر ابلاغ	The manner of serving (the writ)
دادیاری دادسرای عمومی و انقلاب	Assistant prosecutor of the pubilc and revolutionary prosecutor\'s office
سوابق ارفاقی	Ex gratia records
اعسار از هزینه دادرسی	unable to afford adjudication costs/fees/ court fees/ legal procedure fees/costs
اقامت تحصیلی	Study Permit, student residence permit
قبولا	by acceptance
ایجابا	By offer
زمین شهری	Urban land
سپردن ضمان درک	Ensuring guarantee to indemnify
احضار شونده	The summoned party
قانون قطبهای کشاورزی	Agricultural Poles Act
‌قانون مرجع تشخیص اراضی موات و ابطال اسناد آن	Reference law for identification of dead lands and revocation/annulment of their title deeds
سپردن تعهد تخلیه	to give/entrust evacuation commitment
آگهی گیرنده	ad publisher
نفرات اضافه	additional persons
توابع شرعیه	(all) religiously recognized appurtenances
شعبه حقوقی دادگستری	legal branch of the judiciary
اداره کل مشترکین و متقاضیان ارتباطات سیار	general directorate of subscribers and applicants for Mobile Telecommunication
ارزش تام بیهوشی	Total anesthesia cost
درجه دو	Level Two
آزاد	Private
جبهه حق علیه باطل	The front of truth against that of falsehood
بهره وری	Productivity
مرکز هزینه	Cost center
محرمیت	Nikah mut\'ah/Sigheh/temporary marriage
حق جذب پرداختی	paid allowance
ماموریت نیم روز	half-day assignment
استعلام گواهینامه	Driver License Letter of Verification/Driver License verification form
ترمیمی	restorative dentistry
نظام پزشکی و طب قانونی	Medical council and forensic medicine
دوره دکتری عمومی	General medicine doctorate
کارشناس عالی	Chief Expert
سکه نیم بهار آزادی	Half Bahar-e Azadi Gold Coin
عالم امکان	possible world
دزد ناموس	Wencher/philanderer
دستت بشکنه	God damn you
پول کسی را خوردن	swindle out of money
ضابط	Bailiff
از دست کسی اسایش نداشتن	fail to get rid of someone
کله پز	Kalleh paz
کالبدی	Physical
دادگاه تجدید نظر امور مهاجرت شهر لندن	Special immigration appeals commission
شعبه بازپرسی	Investigation unit
قابل نظرخواهی	Can be appealed
عنایات رهبری	Exemption by leader\'s gift/mercy
معرفی کردن	appear before
کد ممنوع الخروجی	exit ban number
طهارت غیرمواقعه	Unpuctuated woman while in pureness state
پاسخ منقضی	The needed / appropriate answer
احیای حق	Reclaiming your rights
اجرای مفاد قرار داد	Implementation/execution of the provisions of the contract
حق و حقوقی نزد زوج ندارد	The wife has no right over her husband
استیفاء خسارات وارده	to compensate for/reimburse the incurred damages
وثیقه بانکی	collateral
سند صلح اموال غیر منقول	Immovable properties deed of conveyance
دارایی اعلام نشده	undeclared assets (properties) / undisclosed assets (properties)
برگ شماری پرونده	Profile/case filiation
حفظ بدل	Keeping the copy of the case
مشتکی عنهم	The defendants, accuseds
اداره پشتیبانی سیستمها و امور قراردادهای بیمه های اتومبیل	The office of automobile insurance regulations and system support
اداره صدور اشیا	vehicle insurance department
مبلغ 35% مسدودی	the blocked sum of 35%
بدهی استخراج نشده	Unsettled or unpaid debt
اگاهی نامه	Newsletter
کویرشناسی	Desert Studies
انجمن علمی مطالعات ساللمندی	Scientific Association of Aging Studies
وقت	Then
معاونت اجتماعی و پیشگیری از جرم قوه قضاییه	Deputy of Judiciary on Social and Crime Prevention Affairs
حق شغل	Position allowance/bonus
تفاوت تطبیق کلانشهرها	Metropolitan Discrepancy Adjustment
فوق العاده جذب هیئت امنا	Bonus of employment in the board of trustees
فوق‌العاده نشان‌های دولتی	State Awards and Decorations Bonus/Allowance
خرابی به سازه ها	Damage to structures/constructions
فوق العاده ایثارگری	(Military/Army) Veterans' bonus
تفاوت تطبیق	Adjusted difference
تعهد نامه صادراتی	Export letter of commitment/recognizance
حوالجات ارزی وارده	Submitted/delivered/given payment orders
پیش دریافت اعتبار اسنادی وارداتی	Advance payment on import letters of credit
ستاد تنظیم بازار	Market Regulatory Committee
بیمارستان سوانح سوختگی	burn center / burn unit / burns unit
بستن شاخه های پایین رونده عروق رحم	ligation of descending branches of uterine artery
ادم ریه	Pulmonary edema
مت هموگلوبینمی	Methemoglobinemia
ناکفایتی آدرنال	Adrenal insufficiency
ماده الحاقی به قانون ثبت	Appended Article / Article Appended to the Registration Law/Act
محل امضا دفتر یار دفتر خانه	(Place of) signature of notary public assistant
دانه های جامد زردفام مایل به خاکستری	grayish yellow granules
فراعمل گرایی	hyper-pragmatism/ultra-pragmatism
حاجب	court crier
مامور قرق	Cordoning officer
روسای ساخلوی نظامی	chiefs of the military garrison
ستاد توان‌افزایی	Empowerment headquarters
بنگاهی	Corporation/corporational
نهاده های درون زمین	underground resources
دفترچه چکیده معرفی کتاب‌ها	Booklet of Book Summaries/Abstracts/Overviews
جریان شناسی سلفی تکفیری	A Study of Salafist-Takfiri Current
تماس درزه	joint contact
در لغت	in the literal sense of the word
مقیدکننده	Restrainer
گری	Gray
حسابداری و کنترل های مالی دولتی	Governmental Accounting and Financial Control(s)
اصول و کلیات بیمه های اشخاص	Principles and Generalities / General Principles of Personal Insurance
آیین دادرسی کیفری	Code of Criminal Procedure
سیر انحطاطی تاریخ	deteriorating/degrading course of history
خطاهای فکری علم اقتصاد	Intellectual Errors of Economics
مقاله نویسی در مطبوعات	Media/Press Essay Writing
روش پرامیت	PROMETHEE method
مقیاس همسانی معنایی رزنیک	The Resnik's semantic similarity measure
همترازیابی	Alignment
چرخه تبرید جذب انرژی خورشیدی	cooling cycle of absorbing solar energy/ solar energy absorption cooling cycle
حقیقی و حقوقی	natural and legal
توسعه كمی و كیفی نیروهای متخصص،	qualitative and quantitative development of specialized force
مدل های استهلاک انرژی	energy dissipation models
کرسی آزاداندیشی و هم اندیشی	Free-thinking tribune and seminar
سیستم توزیع داخلی تلفیقی	internal distribution Compilation system
همایش مبادله تجارب خودگردانی انجمن ها	The Congress on Sharing Experiences of Associations' Self-regulation
فشار منفذی تعادل	pore pressure
اعسار به تقسیط	to be paid by installment due to insolvency
برهم اتصالی کوانتومی سیستم های دور دست	the quantom connections of remote systems
تفسیر چندجهانی	multi-universal interpretation
مغالطه ی ترکیب بندی	fallacy of composition
نقض پایستگی انرژی	violation of energy conservation
مکانیسم گسیختگی موضعی	Local faliure mechanism
مکانیسم اثر خمش عمودی	vertical bending effect mechanism
پول‌های سرگردان	Hot Money
منوی میانی	intermediary menu
فرایندهای فرانور	superluminal processes
قانون ضدناپذیری	The law of non-contradiction
سیگنال رویزيون	revision signal
بافت زمینه	initial tissue
کارکدک	Carcodek
تابلو فرمان	control panel
سند مالکیت حبسی	entailed deed
شناور مسافری	Passenger ship
شیر هواگیر	Bleed nipple
ماده ضد جوشخوردگی	Anti-seize compound
تصمیم گیری تحت شرایط عدم اطمینان	Decision-making under conditions of uncertainty
سر به سر	Break even
نسبت درآمد-هزینه	The Cost Revenue Ratio (CRR)
از لبه نیفتی پایین	Whatever you do, watch out not to fall down from the cliff's edge
انصراف	back out/withdraw
مصوبه	Approval
هیأت بررسی تخلفات	Violations Inspection Committee
آئین نامه	bylaw
کارشناسی ناپیوسته	student of non-continuous/ interrupted B.S course
مشارکت وابسته به افکار سازمان‌محور	collaboration pertains to organizational based thoughts
چهارچوب آموزش اجباری در قالب تأمین مالی	compulsary education in the frame of financing
مرده زایی	Stillbirth
تعداد ضربان قلب جنین	Fetal heart rate
فتوکپی برابر مدرک ابزاری می باشد	Duplicate/certified copy of submitted instruments
عالیترین نشان رعایت حقوق مصرف کنندگان	highest award for observing consumer rights
الزام متضرر به کاستن از میزان ضرر	the injured party obligation to mitigate the damage
حذف بدهی مشکوک الوصول از دفتر حساب	Writing off the doubtful debt from the register
قرار اجرای حکم دادگاه	writ of execution; writ of enforcement
جوجه را اخر پاییز میشمارند	Don't count your chickens before they hatch
کبریت بی خطر	wouldn't hurt a fly
طلاق رجعی	mutually revocable divorce
دست خط خرچنگ قورباغه	chicken scratch
عام المنفعه	of public utility/interest
نصب سیفون و فلاش تانکها	installation of siphons and flush tanks...
سر دوشها و شیرهایی که هوا داخل آب میکنند	aerating shower heads and taps/faucets
مصادیق حقوقی	Legal examples مصادیق حقوقی
سطل های بازیافت مجزا	Separate Recycling Containers
فرضيه گوش به زنگي-اجتناب	vigilance–avoidance theory
با دُمش گردو میشکاند	bouncing off the walls
شاخص عینی قابل مشاهده	Observable objective indicator
مگر در شرط خلاف	unless otherwise is agreed/provided
مشمولین	Draftee
خونریزی نسبتا فعال	relatively/half-active bleeding
سُر و مُر و گنده	fat, dumb, and happy
باز شدن اشتها	To whet the appetite
فرصت مطالعاتی	Sabbatical leave
یه روده ی راست توي شيكمش نيست	there's not an honest bone in his/her body
مشکلات ناشی از بازارگرایی	Problems stemming from market orientation
افزایش بی رویه آلاینده های کربنی	Irregular increase of carbon emissions
تخصص - فوق تخصص	Super-specialist// Sub-specialist
تجاری، اداری، مسکونی و آموزشی	Commercial, Administrative, Residential and Educational
مناقصه گزار و کارفرما	Client for both
بر روح و روان هر رهگذر تاثير می‌گذارد	Impresses the spirits of every passerby
مخمر آبجو	Brewer\'s yeast
ستاره اقبالش رو به افول گذاشت	His lucky star seemed to wane/to be on the wane
کبریت بیخطر	wouldn\'t hurt a fly
خاک میخوره	Gathering dust
چیزی را از چنگ کسی دراوردن	to pry something out of someone\'s fingers
آب خوش	enjoy oneself
پشتش لرزید	a chill went up his spine
چشم روشنی گفتن	used it as an excuse
چیزی سرش نمیشود	Pudding head/Soft-headed
در دلش میریخت	to keep one\'s emotions/feeling bottled up
نیش عقرب نه از ره کین است	a leopard cannot change its spots/ a tiger cannot change its stripes
رویش به روی دیگری باز شده	he had gone brazen-faced/barefaced to somebody
to see how .....can be....	پیش‌بینی نحوه تحقق اهداف سازمان ملل دشوار می‌نماید
گندش در نیآید	so that the shit doesn\'t hit the fan
آدم با چشم و رو	self-restrained
کسی را تنها گیر آوردن	corner, court
آسمان به زمین رفتن	The sky has not fallen
لجش گرفته	to get pissed off
توی بوق و کرنا کردن	with a lot of hoopla/hullabaloo
صابون کسی به تن خوردن	Do harm to/inflict harm on somebody
به سلامتی	Fortunately
مثل پروانه دورش می گشت	fluttered around her like a moth around a flame
آبرو را جلوی درو همسایه بردن	dishonor/throw a book at somebody before neighbors and passersby
آیین پذیرایی	hosting etiquette
یک من بودن	and they were both equally stubborn.
غیرتی شدن	feel one\'s (family) honor attacked
خودش را میگرفت	put on airs/ give oneself airs
از دهان در رفتن	Let sth slip
سبب کاهش قدرت سازگاری	Reduces their compatibility
سر صف	Morning rituals
فرد را مستعد افسردگی کند	makes the individual prone to depression.
از خواب غفلت بیدار شدن	ignorance leaves him, and he gets conscious
کمک‌های فردگرایانه و چندجانبه	Individual and collective assistance
جای دوری نرفته	has not gone anywhere
سطح پایین اقتصادی	low economic status
که این ارتباط بر حسب جنس	gender-based relationship
در طول مطالعه محرز شده	had been established/verified during the course of the study
معلوم الحال	Of ill-repute
طی مطالعات جهانی دریافتند	Through global studies they found/discovered/learned...
از حلقش بیرون میکشم	force / squeeze my house off his throat/make him cough up my house
افراد با تحصیلات دانشگاهی	People with higher education/ university education
با کدهای ویژه وارد نرم افزار	were fed into SPSS in the form of codes
فلان فلان شده	blankety-blank
مقیاس آن بر اساس 3 درجه نقطه‌ای	based on a 3-point scale
خون بدل کسی کردن	\be a thorn in somebody\'s flesh\
روش انجام تحقیق الف کتابخانه ای	Research A was conducted using a library research method.
از بین پیغمبرا جرجیس	Among the prophets, George was her destiny.
عدم ادامه تعقیب دعاوی	Suspension of prosecution of lawsuits
گواهی عدم افراز	Non-partition certificate
درمان دارویی-مشاوره ای	Medical-consultative treatment
مبلغ حق امتیاز	royalty
در مسیر حرکت آتی سازمان قابل پیاده سازی باشد	It would be realizable in organization future course
به عنوان زیرمجموعه هایی از مفهوم گسترده تر کارآفرینی پایدار عمل می کنند	...work as subsets of the broader concept of sustainable entrepreneurship
چه پیامدهایی در پی دارد	To what consequences it may lead
نبود شفافیت نسبت به جلوه های مختلف کارآفرینی	Clouded in opacities ...
تقسیم نامه	partition deed
نزدیک ترین واحد نیروی انتظامی حوزه استحفاظی	closest Local Law Enforcement unit
اخذ مجوز	obtaining a license/permission
مشخصات سجلی	identity details/particulars
عرصه و اعیانی	Building site and standing property
